32723;8502;4;62.00;5;310.00
32724;8503;4;60.00;5;300.00
32725;8503;5;56.50;5;282.50
32726;8503;12;45.00;3;135.00
32727;8503;13;46.00;3;138.00
32728;8503;31;11.00;2;22.00
32729;8503;71;130.00;2;260.00
32730;8503;22;39.00;1;39.00
32731;8503;11;64.00;1;64.00
32732;8503;26;39.00;1;39.00
32733;8503;56;26.00;1;26.00
32734;8504;11;66.00;1;66.00
32735;8504;5;56.50;1;56.50
32736;8505;11;64.00;2;128.00
32737;8505;1173;66.00;3;198.00
32738;8506;4;62.00;1;62.00
32739;8507;8;86.00;3;258.00
32740;8507;9;90.00;1;90.00
32741;8507;23;22.50;2;45.00
32742;8507;1128;5.00;6;30.00
32743;8507;18;50.00;1;50.00
32744;8507;17;45.00;5;225.00
32745;8508;11;66.00;1;66.00
32746;8509;5;58.00;2;116.00
31553;8376;4;62.00;4;248.00
31571;8382;5;58.00;2;116.00
31572;8382;71;135.00;1;135.00
31573;8383;9;88.00;1;88.00
31574;8383;5;56.50;1;56.50
31575;8383;11;64.00;1;64.00
31576;8383;56;26.00;1;26.00
31577;8384;4;60.00;1;60.00
32474;8414;36;31.00;1;31.00
32475;8415;11;64.00;3;192.00
32567;8446;5;58.00;1;58.00
32568;8446;4;62.00;1;62.00
32569;8446;11;66.00;1;66.00
32693;8485;11;64.00;2;128.00
32694;8486;8;84.00;1;84.00
32695;8486;13;46.00;3;138.00
32696;8486;26;39.00;1;39.00
32697;8487;11;64.00;1;64.00
32698;8488;5;56.50;1;56.50
32699;8488;11;64.00;1;64.00
32747;8509;4;62.00;1;62.00
32748;8510;23;22.50;2;45.00
32749;8511;31;11.00;4;44.00
32750;8512;4;60.00;1;60.00
32751;8512;11;66.00;1;66.00
32752;8513;11;66.00;1;66.00
33568;8543;4;60.00;1;60.00
32754;8515;4;62.00;3;186.00
32755;8515;5;58.00;2;116.00
32756;8515;36;31.00;1;31.00
32757;8516;4;62.00;1;62.00
32758;8516;5;58.00;1;58.00
32759;8517;5;58.00;1;58.00
32760;8517;4;62.00;2;124.00
32761;8518;71;135.00;1;135.00
32774;8523;1135;47.00;2;94.00
32775;8524;71;135.00;1;135.00
32776;8525;4;60.00;4;240.00
32780;8528;18;50.00;2;100.00
32781;8528;26;39.00;1;39.00
32782;8528;31;11.00;1;11.00
32783;8528;36;31.00;1;31.00
33523;8529;11;64.00;2;128.00
33524;8529;4;60.00;7;420.00
33525;8529;5;56.50;3;169.50
33526;8529;23;22.50;4;90.00
33527;8529;18;50.00;2;100.00
33528;8529;15;66.00;1;66.00
33529;8530;18;50.00;1;50.00
33530;8530;20;39.00;1;39.00
33531;8530;5;58.00;3;174.00
33532;8530;4;62.00;2;124.00
33533;8531;12;47.00;1;47.00
33534;8532;4;62.00;2;124.00
33535;8532;26;39.00;1;39.00
33536;8532;89;12.00;1;12.00
33537;8533;5;58.00;5;290.00
33538;8533;4;62.00;6;372.00
33539;8533;31;11.00;2;22.00
33540;8533;1098;14.00;1;14.00
33541;8533;12;47.00;2;94.00
33542;8533;13;48.00;2;96.00
33543;8533;89;12.00;2;24.00
33544;8534;11;64.00;1;64.00
33545;8534;23;22.50;2;45.00
33546;8534;1098;14.00;2;28.00
33547;8534;73;65.00;1;65.00
33548;8535;4;62.00;1;62.00
